Date,temp_max,temp_min,temp_mean,precip,pressure,sunshine,wind
2005-07-22,27.686493,15.435471,21.603733,3.7047453,1001.18866,10.1336975,1.8783314
2005-07-23,22.015408,14.048461,17.489038,6.07771,1002.5368,5.5512137,2.0341187
2005-07-24,26.045662,14.336418,20.329515,2.2377276,1001.56696,9.62672,1.7526839
2005-07-25,28.88614,14.971625,22.201996,1.9705833,1001.17993,10.734644,1.7461212
2005-07-26,30.638704,16.193068,23.630665,2.9585369,1000.0961,10.554371,1.7722739
2005-07-27,31.837212,16.708,24.59653,2.3032813,1001.41315,11.465638,1.6991147
2005-07-28,33.673775,17.90548,26.23596,2.670448,1003.1178,11.789926,1.6817341
2005-07-29,33.259304,18.32206,26.078472,2.1116874,1003.385,11.936454,1.6293049
2005-07-30,32.479115,18.407822,25.830135,2.5690992,1001.8988,11.937439,1.6955345
2005-07-31,32.452595,18.388432,26.115326,3.4973536,1001.46466,11.5351925,1.7671748
2005-08-01,29.515913,17.441935,23.592947,2.9809284,1002.88007,10.646152,1.7375412
2005-08-02,31.443432,18.239773,25.046385,2.6884487,1001.79846,11.46611,1.7017347
2005-08-03,28.575317,18.018934,23.355984,5.5176105,1001.83984,7.094788,1.9508197
2005-08-04,20.601376,13.952032,16.794754,4.317588,1005.64966,6.4506216,1.9791679
2005-08-05,20.297955,13.311745,16.469553,4.3405533,1005.3622,6.3934245,2.0433288
2005-08-06,27.4931,14.904733,21.50418,1.2986056,1003.2656,11.297704,1.8796093
2005-08-07,21.517519,13.096316,16.860195,5.655716,1003.4596,5.8070645,2.228423
2005-08-08,21.748629,11.394078,16.781603,1.6919868,1003.62146,10.3054495,2.0469193
2005-08-09,26.610695,13.227146,20.18991,2.2325096,1002.77136,11.046225,2.0563009
2005-08-10,28.181854,14.532259,21.488045,2.8901465,1001.673,10.914003,2.0623446
2005-08-11,25.359816,14.722201,19.714777,5.2431545,1001.76013,7.3094835,2.1491148
2005-08-12,25.877827,15.465313,20.389132,4.5344768,1002.0848,7.2166743,2.0293112
2005-08-13,26.623812,15.021734,20.725183,2.6417806,1004.0149,8.686395,1.8925354
2005-08-14,26.952255,14.271194,20.747036,1.778467,1004.3848,10.38017,1.8442781
2005-08-15,20.516945,12.549298,15.927129,5.8937974,1003.347,4.8168993,2.0886726
2005-08-16,19.98089,12.743685,15.713871,5.351093,1001.8954,4.543086,2.0416706
2005-08-17,24.41241,13.445442,18.759184,2.3692837,1002.01044,8.181158,1.8556187
2005-08-18,25.062689,14.343104,19.283834,4.04947,1002.3016,6.6967697,1.9640583
2005-08-19,27.0345,15.349419,20.839046,3.1453028,1002.4067,7.7843156,1.8708119
2005-08-20,26.321264,14.62718,20.195505,2.5951285,1003.7888,8.340573,1.8474741
